BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;02.07.2014;Индекс МосБиржи;Индекс МосБиржи;1514,33;1482,91;1514,33;1482,84;34698039203;;;2;6,82761E+12;RUB;4508662236;3;
SNDX;IMOEX;03.07.2014;Индекс МосБиржи;Индекс МосБиржи;1514,47;1514,66;1522,21;1510,66;29541346787;;;2;6,82824E+12;RUB;4508662236;3;
SNDX;IMOEX;04.07.2014;Индекс МосБиржи;Индекс МосБиржи;1489,53;1515,53;1516,36;1485,52;25432309583;;;2;6,71577E+12;RUB;4508662236;3;
SNDX;IMOEX;07.07.2014;Индекс МосБиржи;Индекс МосБиржи;1513,72;1489,55;1518,05;1484,27;26447591867;;;2;6,82484E+12;RUB;4508662236;3;
SNDX;IMOEX;08.07.2014;Индекс МосБиржи;Индекс МосБиржи;1516,75;1513,76;1532,08;1512,68;36406962321;;;2;6,83852E+12;RUB;4508662236;3;
SNDX;IMOEX;09.07.2014;Индекс МосБиржи;Индекс МосБиржи;1513,38;1516,29;1518,6;1496,79;28433619876;;;2;6,82334E+12;RUB;4508662236;3;
SNDX;IMOEX;10.07.2014;Индекс МосБиржи;Индекс МосБиржи;1494,92;1513,37;1521,88;1480,26;40593712934;;;2;6,74011E+12;RUB;4508662236;3;
SNDX;IMOEX;11.07.2014;Индекс МосБиржи;Индекс МосБиржи;1499,82;1495,01;1502,23;1488,84;27280591834;;;2;6,76219E+12;RUB;4508662236;3;
SNDX;IMOEX;14.07.2014;Индекс МосБиржи;Индекс МосБиржи;1483,41;1500,29;1502,68;1482,63;25874350380;;;2;6,6882E+12;RUB;4508662236;3;
SNDX;IMOEX;15.07.2014;Индекс МосБиржи;Индекс МосБиржи;1475,77;1482,23;1487,49;1471,95;31348119170;;;2;6,65373E+12;RUB;4508662236;3;
SNDX;IMOEX;16.07.2014;Индекс МосБиржи;Индекс МосБиржи;1474,72;1475,68;1482,6;1459,08;31471423221;;;2;6,64901E+12;RUB;4508662236;3;
SNDX;IMOEX;17.07.2014;Индекс МосБиржи;Индекс МосБиржи;1440,63;1470,83;1470,83;1429,08;46983315494;;;2;6,4953E+12;RUB;4508662236;3;
SNDX;IMOEX;18.07.2014;Индекс МосБиржи;Индекс МосБиржи;1422,53;1440,54;1440,54;1410,48;40033266979;;;2;6,41371E+12;RUB;4508662236;3;
SNDX;IMOEX;21.07.2014;Индекс МосБиржи;Индекс МосБиржи;1384,5;1422,53;1424,64;1384,5;39527909818;;;2;6,24224E+12;RUB;4508662236;3;
SNDX;IMOEX;22.07.2014;Индекс МосБиржи;Индекс МосБиржи;1405,97;1386,14;1414,21;1386,14;35820774896;;;2;6,33904E+12;RUB;4508662236;3;
SNDX;IMOEX;23.07.2014;Индекс МосБиржи;Индекс МосБиржи;1406,58;1406,5;1421,56;1395,74;29647055743;;;2;6,34181E+12;RUB;4508662236;3;
SNDX;IMOEX;24.07.2014;Индекс МосБиржи;Индекс МосБиржи;1408,8;1405,58;1410,75;1394,04;25372742027;;;2;6,35178E+12;RUB;4508662236;3;
SNDX;IMOEX;25.07.2014;Индекс МосБиржи;Индекс МосБиржи;1388,41;1408,19;1408,19;1386,14;29628586311;;;2;6,25988E+12;RUB;4508662236;3;
SNDX;IMOEX;28.07.2014;Индекс МосБиржи;Индекс МосБиржи;1361,94;1387,12;1387,14;1357,03;30461885017;;;2;6,14051E+12;RUB;4508662236;3;
SNDX;IMOEX;29.07.2014;Индекс МосБиржи;Индекс МосБиржи;1369,83;1361,22;1380,29;1356,62;35280719684;;;2;6,17611E+12;RUB;4508662236;3;
SNDX;IMOEX;30.07.2014;Индекс МосБиржи;Индекс МосБиржи;1382,14;1368,72;1403,6;1359,65;40179117327;;;2;6,23158E+12;RUB;4508662236;3;
SNDX;IMOEX;31.07.2014;Индекс МосБиржи;Индекс МосБиржи;1379,61;1383,04;1399,12;1376,48;29121177754;;;2;6,22018E+12;RUB;4508662236;3;
SNDX;IMOEX;01.08.2014;Индекс МосБиржи;Индекс МосБиржи;1374,83;1378,03;1378,1;1358,11;33134471815;;;2;6,19867E+12;RUB;4508662236;3;
SNDX;IMOEX;04.08.2014;Индекс МосБиржи;Индекс МосБиржи;1378,98;1375,73;1386,43;1365,01;26195753576;;;2;6,21736E+12;RUB;4508662236;3;
SNDX;IMOEX;05.08.2014;Индекс МосБиржи;Индекс МосБиржи;1357,89;1379,5;1383,36;1356,2;26258554225;;;2;6,12226E+12;RUB;4508662236;3;
SNDX;IMOEX;06.08.2014;Индекс МосБиржи;Индекс МосБиржи;1334,66;1357,33;1362,22;1333,37;44555802086;;;2;6,01751E+12;RUB;4508662236;3;
SNDX;IMOEX;07.08.2014;Индекс МосБиржи;Индекс МосБиржи;1333,53;1333,39;1340,84;1306,8;46389687389;;;2;6,01242E+12;RUB;4508662236;3;
SNDX;IMOEX;08.08.2014;Индекс МосБиржи;Индекс МосБиржи;1348,21;1332,26;1360,49;1329,1;34479528820;;;2;6,07863E+12;RUB;4508662236;3;
